01,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用　,352,10.1,1.9,0.42,0.32,0.93,1,73.6,1.7,2.8,1400,210,64,31,1.0,0.7,0.13,0.92,1400,8,3,15,1,0.1,0.6,1,0.21,0.03,1.5,0.07,0.1,17,0.41,2.4,0
01,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用　,365,7.8,4.0,1.54,1.07,0.86,31,74.4,0.9,1.8,390,230,100,12,0.5,0.3,0.07,0,0,3,5,11,9,0.1,0.5,1,0.10,0.08,0.5,0.04,0.1,10,0.48,1.5,0
01,こむぎ　［小麦粉］　プレミックス粉　から揚げ用　,331,10.2,1.2,0.33,0.16,0.47,0,70.0,1.4,2.6,3800,280,110,39,1.2,0.7,0.10,0.96,1,6,6,23,5,0,0.3,2,0.15,0.07,1.3,0.12,0,26,0.33,4.3,0
01,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　,351,8.8,1.3,0.32,0.14,0.58,3,76.1,1.5,2.5,210,160,140,19,0.6,0.5,0.12,0.62,1,3,2,10,1,0,0.3,0,0.12,0.99,0.9,0.06,0,12,0.35,1.3,0
01,こむぎ　［パン類］　食パン　　,264,9.3,4.4,1.9,1.15,0.87,0,46.7,0.4,2.3,500,97,29,20,0.6,0.8,0.11,0.24,1,24,1,18,0,0,0.5,0,0.07,0.04,1.2,0.03,0,32,0.47,2.4,0
01,こむぎ　［パン類］　コッペパン　　,265,8.5,3.8,1.64,1,0.75,0,49.1,1.0,2.0,520,95,37,24,1.0,0.7,0.12,0.39,0,0,0,0,0,0,0.4,0,0.08,0.08,0.7,0.04,0,45,0.63,0,0
01,こむぎ　［パン類］　乾パン　　,393,9.5,4.4,1.7,1.01,1.15,0,78.8,1.8,3.1,490,160,30,27,1.2,0.6,0.18,0.82,0,0,0,0,0,0,1.1,0,0.14,0.06,0.9,0.06,0,20,0.41,0,0
01,こむぎ　［パン類］　フランスパン　　,279,9.4,1.3,0.29,0.14,0.63,0,57.5,1.2,2.7,620,110,16,22,0.9,0.8,0.14,0.39,0,29,1,20,0,0,0.1,0,0.08,0.05,1.1,0.04,0,33,0.45,1.9,0
01,こむぎ　［パン類］　ライ麦パン　　,264,8.4,2.2,0.9,0.57,0.44,0,52.7,2.0,5.6,470,190,16,40,1.4,1.3,0.18,0.87,0,0,0,0,0,0,0.3,0,0.16,0.06,1.3,0.09,0,34,0.46,0,0
01,こむぎ　［パン類］　ぶどうパン　　,269,8.2,3.5,1.57,0.97,0.58,0,51.1,0.9,2.2,400,210,32,23,0.9,0.6,0.15,0.32,0,0,0,0,0,0,0.4,0,0.11,0.05,1.2,0.07,0,33,0.42,0,0
01,こむぎ　［パン類］　ロールパン　　,316,10.1,9.0,4.02,2.86,1.26,0,48.6,1.0,2.0,490,110,44,22,0.7,0.8,0.12,0.29,0,0,0,0,1,0.1,0.5,0,0.10,0.06,1.3,0.03,0,38,0.61,0,0
01,こむぎ　［パン類］　クロワッサン　　,448,7.9,26.8,12.16,8.94,3.15,0,43.9,0.9,1.8,470,90,21,17,0.6,0.6,0.10,0.29,0,0,0,0,6,0.1,1.9,0,0.08,0.03,1.0,0.03,0,33,0.44,0,0
01,こむぎ　［パン類］　イングリッシュマフィン　　,228,8.1,3.6,1.21,0.7,1.19,0,40.8,0.2,1.2,480,84,53,19,0.9,0.8,0.12,0.28,0,0,0,0,0,0,0.3,0,0.15,0.08,1.2,0.05,0,23,0.32,0,0
01,こむぎ　［パン類］　ナン　　,262,10.3,3.4,0.53,1.45,1.00,0,47.6,0.8,2.0,530,97,11,22,0.8,0.7,0.11,0.30,0,0,0,0,0,0,0.6,0,0.13,0.06,1.3,0.05,0,36,0.55,0,0
01,こむぎ　［パン類］　ベーグル　　,275,9.6,2.0,0.71,0.48,0.63,0,54.6,1.2,2.5,460,97,24,24,1.3,0.7,0.11,0.45,0,0,0,0,0,0,0.2,0,0.19,0.08,2.0,0.06,0,47,0.28,0,0
01,こむぎ　［うどん・そうめん類］　うどん　生　,270,6.1,0.6,0.14,0.05,0.31,0,56.8,0.5,1.2,1000,90,18,13,0.3,0.3,0.08,0.39,2,6,2,7,0,0,0.2,0,0.09,0.03,0.6,0.03,0,5,0.36,0.8,0
01,こむぎ　［うどん・そうめん類］　うどん　ゆで　,105,2.6,0.4,0.09,0.04,0.2,0,21.6,0.2,0.8,120,9,6,6,0.2,0.1,0.04,0.12,0,2,1,2,0,0,0.1,0,0.02,0.01,0.2,0.01,0,2,0.13,0.3,0
01,こむぎ　［うどん・そうめん類］　干しうどん　乾　,348,8.5,1.1,0.25,0.1,0.56,0,71.9,0.6,2.4,1700,130,17,19,0.6,0.4,0.11,0.50,0,10,1,12,0,0,0.3,0,0.08,0.02,0.9,0.04,0,9,0.45,1.3,0
01,こむぎ　［うどん・そうめん類］　干しうどん　ゆで　,126,3.1,0.5,0.11,0.04,0.25,0,25.8,0.3,0.7,210,14,7,4,0.2,0.1,0.04,0.14,0,0,0,0,0,0,0.1,0,0.02,0.01,0.2,0.01,0,2,0.14,0,0
01,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾　,356,9.5,1.1,0.25,0.1,0.56,0,72.7,0.7,2.5,1500,120,17,22,0.6,0.4,0.12,0.44,0,16,1,14,0,0,0.3,0,0.08,0.02,0.9,0.03,0,8,0.70,1.3,0
